,LIME-DS_BAL_MASI_TFL,LIME-DS_QCALC,SCRUBBER_TOT_VOL,SCRUBBER_QCALC,GYP-CR_TOT_VOL,GYP-CR_QCALC,GAS-SP_BAL_MASI_TFL,GAS-SP_QCALC,GYP-SP_BAL_MASI_TFL,GYP-SP_QCALC,WATER_MA,WATER_VOL,LIQOUT_MA,LIQOUT_VOL,H2O,CO2,SO2,O2,CALCI-01,CALCI-02,N2,NA2O,AR,gypsum production,Required WOS(kg/h)
0,26.4962657,18.5483157,455067.753,3292.47635,468336.354,344.680769,243.488149,-588.172045,10.6571676,0.246888301,25.4771786,0.426427719,8.97951604,0.152216254,22.3434693,28.304089,0.000593251395,22.9240487,7.82385336e-87,6.44527893e-78,159.168518,9.68318867e-80,0.0902632704,1.61571056,1.0190871441151867
0,29.4985231,20.6500011,506617.8,3665.22023,521399.026,383.645618,271.077696,-654.776297,11.8663837,0.275155596,28.3639645,0.474745688,9.99827411,0.169482302,24.8742846,31.511189,0.000219614281,25.5214324,8.79241139e-87,7.17737654e-78,177.203696,1.07808739e-79,0.100490884,1.79915012,1.1345585793313548
0,32.5791595,22.8065547,559529.53,4048.03428,575871.709,427.495612,299.380486,-723.235025,13.0964316,0.30358926,31.3261149,0.524325081,11.0368489,0.187037499,27.47429,34.8020216,0.000299953359,28.1867422,7.99319721e-84,7.9146044e-78,195.709715,1.19099577e-79,0.11098551,1.98341952,1.2530445961041299
0,35.7380017,25.0178551,613790.541,4440.84663,631712.136,468.945074,328.408058,-793.399971,14.3648307,0.332733781,34.3634632,0.575163108,12.1058134,0.205154158,30.1389867,38.1763898,0.000765435743,30.9198094,8.72342012e-84,8.68065946e-78,214.68553,1.30642941e-79,0.121746552,2.17546939,1.3745385284687668
0,38.9748445,27.2837586,669365.737,4842.55399,688920.908,511.418097,358.152543,-865.19761,15.6681461,0.363322471,37.475812,0.627256467,13.2041074,0.223758841,32.8674003,41.6340821,0.000141870699,33.7200881,9.61711877e-84,9.46918542e-78,234.129911,1.42484929e-79,0.132773316,2.37292379,1.499032481633686
0,0.399663221,0.279778277,6865.01257,49.7508247,7065.70897,5.24159351,3.67261646,-8.88360578,0.1602423,0.00364924723,0.384291558,0.00643213188,0.13508308,0.00229008178,0.337281651,0.426931946,0.000129075324,0.345810868,7.97585151e-87,9.65858275e-80,2.40085911,1.4598395e-81,0.00136150912,0.0242249143,0.015371662334494685
0,1.54954793,1.08473792,26613.3871,192.625121,27391.1259,19.8484106,14.2402126,-34.3989463,0.623750119,0.0143383132,1.48994993,0.0249382383,0.525080519,0.00891225998,1.30665854,1.65527101,0.00013772821,1.34066401,2.97576189e-87,3.78526856e-79,9.3084524,5.65350817e-81,0.0052787529,0.0950471798,0.05959799725210368
0,2.73796088,1.91666868,47024.2881,340.269976,48397.5041,34.8986326,25.1619638,-60.7665067,1.10295361,0.0254133782,2.6326547,0.0440644137,0.928303139,0.0157585525,2.30845392,2.92476712,0.000123872494,2.3688452,6.11988486e-87,6.69995107e-79,16.4474928,9.98846904e-81,0.00932724864,0.168249867,0.10530618783170306
0,3.96537222,2.77589968,68105.7651,492.809151,70092.0721,51.2806782,36.4405292,-88.0241586,1.59553969,0.0368156751,3.8128579,0.0638182243,1.34367783,0.0227926725,3.34378961,4.23592486,0.000176940714,3.43078392,2.05438813e-87,9.66870346e-79,23.8208055,1.44787604e-80,0.0135085991,0.242591904,0.15251431617599434
0,5.23217324,3.66270485,89860.1577,650.24344,92485.0411,68.6554358,48.0801156,-116.167489,2.10267011,0.0486362837,5.03093581,0.0842059678,1.77202096,0.0300310767,4.41268444,5.58916193,0.000231544329,4.52680231,1.21264993e-84,1.27045872e-78,31.4307411,1.91250258e-80,0.0178241373,0.318417458,0.2012374322995483
