,PUMP_BRAKE_POWER,COMP_BRAKE_POWER,HEAT1_HX_AREAC2,HEAT1_HX_DUTY,HEAT2_HX_AREAC2,HEAT2_HX_DUTY,COOL1_HX_AREAC2,COOL1_HX_DUTY,HX1_HX_AREAC2,HX1_HX_DUTY,HX2_HX_AREAC2,HX2_HX_DUTY,DRUM_BAL_MASI_TFL,SMR_QCALC,SMR_BAL_MASI_TFL,WGS_BAL_MASI_TFL,PSA_QCALC,PSA_BAL_MOLI_TFL,VSA_QCALC,VSA_BAL_MASI_TFL,VSA_BAL_MOLI_TFL,CH4,CO2,H2,H2O,S1,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S2,S3,S4,S5,S6,S7,S8,S9,S9-1,S9-2,S12_VOL,CO,CO2,H2
0,0.0283079372,1.07903269,0.0103534939,74.2645934,0.00848653483,10.152913,0.246369074,1336.36501,0.0289743534,826.055433,0.0359710583,2044.81881,17.6612027,4900.36637,17.6612027,17.6612027,-6.39554365,1.13187856,-0.154034089,10.2005756,0.413157555,4.04229765,7.9857954,1.44885531,13.618905,13.618905,17.6612027,17.6612027,6.01177171,11.649431,10.2005756,1.44885531,10.2005756,10.2005756,7.9857954,2.21478025,4.04229765,4.04229765,13.618905,13.618905,17.6612027,17.6612027,17.6612027,17.6612027,17.6612027,0.0,0.101290229,0.280104,7.645215,0.0604764
0,0.0277070124,1.05612684,0.0101319968,72.6880944,0.00830579143,9.93738951,0.240715868,1307.99479,0.0283593648,808.519815,0.0352074598,2001.41111,17.2862882,4796.34072,17.2862882,17.2862882,-6.25978034,1.10785101,-0.149007629,9.98403834,0.404387011,3.9564872,7.82350639,1.418099,13.329801,13.329801,17.2862882,17.2862882,5.88415089,11.4021373,9.98403834,1.418099,9.98403834,9.98403834,7.82350639,2.16053195,3.9564872,3.9564872,13.329801,13.329801,17.2862882,17.2862882,17.2862882,17.2862882,17.2862882,0.0,0.0991399909,0.280104,7.48292599,0.0604764
0,0.0271333805,1.03426133,0.00992062966,71.183197,0.00813328223,9.73165691,0.235337905,1280.91214,0.0277723542,791.780632,0.0344785424,1959.97491,16.9284017,4697.03972,16.9284017,16.9284017,-6.13018436,1.0849148,-0.144224464,9.77733682,0.39601482,3.8745741,7.66859085,1.38873969,13.0538276,13.0538276,16.9284017,16.9284017,5.76232518,11.1660765,9.77733682,1.38873969,9.77733682,9.77733682,7.66859085,2.10874597,3.8745741,3.8745741,13.0538276,13.0538276,16.9284017,16.9284017,16.9284017,16.9284017,16.9284017,0.0,0.0970873924,0.280104,7.32801045,0.0604764
0,0.0265867683,1.01342574,0.00971928196,69.7491846,0.00796892069,9.53561515,0.230230076,1255.10506,0.0272129987,775.829911,0.0337839591,1920.49048,16.5873726,4602.41608,16.5873726,16.5873726,-6.00669285,1.06305896,-0.139680907,9.58037166,0.388036985,3.79651934,7.52097257,1.36076331,12.7908533,12.7908533,16.5873726,16.5873726,5.64623768,10.941135,9.58037166,1.36076331,9.58037166,9.58037166,7.52097257,2.05939908,3.79651934,3.79651934,12.7908533,12.7908533,16.5873726,16.5873726,16.5873726,16.5873726,16.5873726,0.0,0.0951314749,0.280104,7.18039217,0.0604764
0,0.0260690671,0.993692176,0.0095286409,68.391019,0.00781327268,9.34994339,0.225407404,1230.66248,0.0266832514,760.722846,0.0331261133,1883.09443,16.2643811,4512.79721,16.2643811,16.2643811,-5.88973358,1.04235914,-0.135391212,9.39382477,0.380481115,3.722593,7.38116332,1.33426668,12.5417881,12.5417881,16.2643811,16.2643811,5.53628962,10.7280915,9.39382477,1.33426668,9.39382477,9.39382477,7.38116332,2.01266145,3.722593,3.722593,12.5417881,12.5417881,16.2643811,16.2643811,16.2643811,16.2643811,16.2643811,0.0,0.0932789986,0.280104,7.04058292,0.0604764
0,0.0537798233,2.04996172,0.0198117789,141.088935,0.0161712226,19.2876548,0.506150515,2539.26939,0.0550250214,1569.35191,0.0683383303,3884.77597,33.5530051,9309.78601,33.553005,33.553005,-12.1497991,2.15032961,-0.375277086,19.3787173,0.78491724,7.6796148,14.8638946,2.75250748,25.8733902,25.8733902,33.5530051,33.5530051,11.4217803,22.1312248,19.3787173,2.75250748,19.3787173,19.3787173,14.8638946,4.51482277,7.6796148,7.6796148,25.8733902,25.8733902,33.553005,33.553005,33.553005,33.5530051,33.5530051,0.0,0.192441564,0.280104,14.5233142,0.0604764
0,0.0566631115,2.15986595,0.0208910492,148.653111,0.0170440032,20.3216066,0.538293464,2675.45548,0.057972672,1653.48929,0.0720021411,4093.04977,35.3518763,9808.90993,35.3518763,35.3518763,-12.8011215,2.26561147,-0.400865312,20.4176097,0.826998249,8.09134063,15.6423956,2.90007161,27.2605357,27.2605357,35.3518763,35.3518763,12.0341951,23.3176813,20.4176097,2.90007161,20.4176097,20.4176097,15.6423956,4.77521404,8.09134063,8.09134063,27.2605357,27.2605357,35.3518763,35.3518763,35.3518763,35.3518763,35.3518763,0.0,0.202759925,0.280104,15.3018152,0.0604764
0,0.0573886323,2.18752112,0.021162905,150.556482,0.0172666408,20.5874492,0.546059718,2707.30517,0.0588335642,1674.66076,0.0729240645,4145.45764,35.8045259,9934.50431,35.8045257,35.8045257,-12.9681275,2.29478772,-0.407457244,20.6817743,0.837617783,8.19494306,15.8449862,2.93747973,27.6095827,27.6095827,35.8045259,35.8045259,12.1852718,23.619254,20.6817743,2.93747973,20.6817743,20.6817743,15.8449862,4.83678809,8.19494306,8.19494306,27.6095827,27.6095827,35.8045257,35.8045257,35.8045257,35.8045259,35.8045259,0.0,0.20530536,0.280104,15.5044058,0.0604764
0,0.0573661094,2.1866626,0.0211544639,150.497395,0.0172598176,20.5793684,0.545805308,2706.24257,0.0588104743,1674.00352,0.0728954447,4143.83071,35.7904738,9930.60539,35.7904738,35.7904738,-12.9630381,2.29388713,-0.40725695,20.6736578,0.837289052,8.19172686,15.8389022,2.93632693,27.598747,27.598747,35.7904738,35.7904738,12.1804891,23.6099847,20.6736578,2.93632693,20.6736578,20.6736578,15.8389022,4.83475554,8.19172686,8.19172686,27.598747,27.598747,35.7904738,35.7904738,35.7904738,35.7904738,35.7904738,0.0,0.205224777,0.280104,15.4983218,0.0604764
0,0.0568440515,2.16676297,0.0209588377,149.127799,0.0171016807,20.392086,0.539919305,2681.61462,0.0582752721,1658.76932,0.0722320627,4106.11995,35.4647641,9840.23233,35.4647641,35.4647641,-12.8450678,2.27301167,-0.40261479,20.4855175,0.829669332,8.11717839,15.6978592,2.90960496,27.3475857,27.3475857,35.4647641,35.4647641,12.0696417,23.3951225,20.4855175,2.90960496,20.4855175,20.4855175,15.6978592,4.78765833,8.11717839,8.11717839,27.3475857,27.3475857,35.4647641,35.4647641,35.4647641,35.4647641,35.4647641,0.0,0.203357147,0.280104,15.3572788,0.0604764
