,LIME-DS_BAL_MASI_TFL,LIME-DS_QCALC,SCRUBBER_TOT_VOL,SCRUBBER_QCALC,GYP-CR_TOT_VOL,GYP-CR_QCALC,GAS-SP_BAL_MASI_TFL,GAS-SP_QCALC,GYP-SP_BAL_MASI_TFL,GYP-SP_QCALC,gypsum production,H2O,CO2,SO2,O2,CALCI-01,CALCI-02,N2,NA2O,AR,err
0,4473.04975,3131.29177,85401.9866,35571.1056,85680.3368,64.6191749,4516.36518,-4930.07783,4481.24392,0.024381625,0.335428421,3.814768,1.62108453,2.62E-11,3.00613531,3.30E-89,3.24E-82,26.678124,3.95E-81,0.001144823,
0,4473.04975,3131.29177,108843.711,35725.2243,109195.6,80.7832053,4527.2325,-4993.39652,4481.01752,0.030372679,0.419405472,5.00505788,2.44788788,3.25E-09,4.07047825,1.67E-85,5.31E-82,34.6900228,5.18E-81,0.001541956,
0,4473.04975,3131.29177,132885.181,35890.4492,133310.137,97.312361,4538.30953,-5057.42614,4480.67366,0.036439285,0.505361546,6.22660622,3.3899041,2.34E-08,5.17079704,2.56E-89,7.96E-82,42.8466166,6.45E-81,0.001951364,
0,4473.04975,3131.29177,157457.971,36064.8811,157957.043,114.116422,4549.57977,-5121.85256,4480.23367,0.042601826,0.592635871,7.47601387,4.42962793,6.32E-11,6.2997298,4.81E-85,1.12E-81,51.1383575,7.75E-81,0.002370674,
0,4473.04975,3131.29177,182506.967,36247.0728,183081.116,131.236373,4561.02797,-5186.50043,4479.71312,0.04878417,0.68129029,8.7504877,5.55289936,2.04E-07,7.45263125,7.01E-89,1.51E-81,59.5560277,9.08E-81,0.002798381,
0,4473.04975,3131.29177,207972.962,36435.8003,208622.519,145.206177,4572.63536,-5251.23351,4479.12534,0.053796803,0.753247155,10.0469982,6.74757386,4.94E-11,8.62568107,4.53E-85,1.92E-81,68.0865259,1.04E-80,0.003233204,
0,4473.04975,3131.29177,233834.429,36630.2964,234561.257,165.926816,4584.39718,-5316.07111,4478.47955,0.061349548,0.86177825,11.3643634,8.00487564,2.36E-08,9.81724575,2.08E-90,2.48E-81,76.7274703,1.18E-80,0.00367463,
0,4473.04975,3131.29177,260029.714,36829.6277,260844.219,104.852188,4596.30814,-5380.72656,4477.79996,0.041423633,0.552744202,12.6997169,9.3165304,1.90E-08,11.0245251,6.99E-83,1.78E-81,85.4632876,1.32E-80,0.004121673,
0,4473.04975,3131.29177,286529.605,37033.2001,287412.37,198.632802,4608.30459,-5445.7151,4477.04718,0.073119626,1.0316885,14.0506305,10.6733194,1.20E-09,12.2450178,8.54E-85,3.67E-81,94.2838686,1.46E-80,0.004573477,
0,4473.04975,3131.29177,313325.42,37240.6529,314285.393,215.17558,4620.43867,-5510.57187,4476.27201,0.079040672,1.11750707,15.4174644,12.0731465,4.49E-08,13.4791879,9.35E-85,4.37E-81,103.191831,1.60E-80,0.005030218,
0,478593.375,335032.155,934925.665,3772232.84,934926.042,24.603279,478610.714,-503692.381,478610.714,0.006354754,0.134270096,,,,,,,,,,
0,478593.375,335032.155,935216.981,3771223.61,935218.655,125.560186,478681.86,-503728.754,478681.86,0.033245976,0.685211679,,,,,,,,,,
0,478593.375,335032.155,935464.71,3770210.79,935467.562,226.985855,478753.334,-503765.336,478753.334,0.062610616,1.23870205,,,,,,,,,,
0,478593.375,335032.155,935697.125,3769169.19,935701.194,331.331863,478826.87,-503802.985,478826.87,0.095500399,1.80815549,,,,,,,,,,
0,478593.375,335032.155,935925.423,3768092.39,935930.794,439.211296,478902.901,-503841.908,478902.901,0.132180575,2.39692145,,,,,,,,,,
0,478593.375,335032.155,936152.647,3766992.15,936159.405,549.425157,478980.58,-503881.661,478980.58,0.17236579,2.99846239,,,,,,,,,,
0,478593.375,335032.155,936381.934,3765870.31,936390.168,661.773324,479059.769,-503922.166,479059.769,0.215907362,3.61168941,,,,,,,,,,
0,478593.375,335032.155,936615.326,3764728.39,936625.123,776.091052,479140.352,-503963.356,479140.352,0.262832623,4.23570761,,,,,,,,,,
0,478593.375,335032.155,936854.156,3763568.14,936865.604,892.192271,479222.197,-504005.157,479222.197,0.312992036,4.8695048,,,,,,,,,,
0,478593.375,335032.155,937099.401,3762391.1,937112.586,1009.91101,479305.188,-504047.502,479305.188,0.366313735,5.51217948,,,,,,,,,,
0,478593.375,335032.155,1095185.89,3762889.69,1099864.74,1179.1684,479389.281,-505832.226,479389.281,0.422646759,6.16338449,,,,,,,,,,
0,478593.375,335032.155,1264733.45,3763512.79,1269951.65,1305.7802,479474.326,-506266.404,479396.606,-0.571738606,6.82195682,8.590426,0.953932678,1.49E-11,3.84498049,,1.38E-82,64.3294205,8.88E-81,0.001558432,
0,478593.375,335032.155,1436905.47,3764166.95,1442672.13,1433.79679,479560.269,-506705.814,479403.284,-0.629049665,7.48748909,17.3390166,2.09606381,6.94E-12,8.16254137,3.29E-92,3.07E-82,129.384562,1.79E-80,0.003295125,
0,478593.375,335032.155,1611423.56,3764850.82,1617746.64,1563.04292,479646.997,-507154.099,479409.573,-0.686989059,8.15910075,26.2051901,3.42377333,2.81E-11,12.8976754,4.05E-92,5.05E-82,194.892564,2.71E-80,0.005187239,
