,Country,HDPE[kg/hr],LDPE[kg/hr],PP[kg/hr],PS[kg/hr],HEATER_T,pyro_EAC,pyro_TPC,pyro_REV_SMR,pyro_REV_NG,SMR_EAC,SMR_TPC,SMR_REV,SMRCCU_EAC,SMRCCU_TPC,SMRCCU_REV,WFGD_EAC,WFGD_TPC,WFGD_REV,Path1_EAC,Path1_TPC,Path1_REV,Path2_EAC,Path2_TPC,Path2_REV,Path3_EAC,Path3_TPC,Path3_REV,Path4_EAC,Path4_TPC,Path4_REV,Path5_EAC,Path5_TPC,Path5_REV,Path6_EAC,Path6_TPC,Path6_REV
10,Brazil,10,20,8,8,1000,76078.27953,496972.2006,197954.7607,223286.3243,60066.62187,169768.1009,27093.5943,2542.844161,6580.149716,1559.62386,250488.5041,79777.38256,3853.282377,389176.249661,753097.833776,230461.261237,386633.4055,746517.6840599999,228901.637377,138687.745561,673320.4512159999,226607.97886,136144.9014,666740.3015,225048.355,326566.78362999996,576749.5831599999,227139.606677,76078.27953,496972.2006,223286.3243
11,Brazil,10,20,8,8,1050,76090.16359,521786.8789,198220.6768,223014.4984,59220.24131,166230.9521,26518.4513,2503.588559,6442.752408,1526.516882,267140.4029,86991.10013,4289.44578,404954.396359,781451.683538,230555.09076199998,402450.80779999995,775008.93113,229028.57387999998,137813.993459,694460.583408,226265.64498199997,135310.4049,688017.831,224739.12809999997,343230.56649,608777.97903,227303.94418000002,76090.16359,521786.8789,223014.4984
12,Brazil,10,20,8,8,1100,76103.27324,547465.1858,198567.7762,222848.2791,58406.66436,162853.5603,25969.4322,2465.935019,6311.56435,1494.914132,283545.1328,94302.39699,4734.125363,420521.00541900005,810932.70744,230766.247895,418055.0704,804621.14309,229271.333763,136975.872619,716630.31045,226032.122532,134509.9376,710318.7461,224537.2084,359648.40604000003,641767.58279,227582.404463,76103.27324,547465.1858,222848.2791
13,Brazil,10,20,8,8,1150,76117.43407,573984.4161,198939.4095,222730.7725,57626.13685,159634.4308,25446.2739,2429.886004,6186.528983,1464.800003,299710.3537,101659.9163,5196.84441,435883.810624,841465.292183,231047.327813,433453.92461999995,835278.7632,229582.52781,136173.456924,739805.375883,225850.48340300002,133743.57092,733618.8469,224385.6834,375827.78777,675644.3324000001,227927.61690999998,76117.43407,573984.4161,222730.7725
14,Brazil,10,20,8,8,1200,76133.59821,601317.529,199337.3166,222665.4109,56882.01676,156584.7983,24950.78692,2395.586779,6068.081036,1436.278916,315706.4948,109136.9367,5666.134383,451117.696549,873107.345036,231390.516819,448722.10977,867039.264,229954.237903,135411.201749,763970.408336,225724.382436,133015.61497,757902.3273,224288.10352,391840.09300999995,710454.4657,228331.54528299998,76133.59821,601317.529,222665.4109
15,China,13,40,14,15,500,115212.9977,276002.8567,445110.407,493235.6731,91968.24065,157865.6256,53811.52123,4083.46484,6168.572432,2962.756097,42505.09859,7615.334272,199.9038245,253769.80178,447652.38900400006,502084.5881515,249686.33694,441483.81657200004,499121.8320545,211264.70319,440037.05473200005,501884.684327,207181.23835,433868.48230000003,498921.92823,157718.09629000002,283618.190972,493435.5769245,115212.9977,276002.8567,493235.6731
16,China,13,40,14,15,550,115233.3131,277446.8828,454518.7632,505224.1606,95225.78701,166069.1764,56696.39998,4247.307689,6490.782481,3121.570301,95806.31634,18783.50039,780.9064197,310512.724139,468790.342071,515117.6399007,306265.41645,462299.55959,511996.0695997,214706.407799,450006.841681,514336.733481,210459.10011,443516.0592,511215.16318,211039.62944,296230.38319,506005.0670197,115233.3131,277446.8828,505224.1606
17,China,13,40,14,15,600,115246.9174,289224.3352,449616.7692,500971.4043,96041.21364,168113.3718,57427.72872,4287.278924,6568.164793,3162.898783,134806.8241,27817.82972,1375.861289,350382.234064,491723.7015129999,511583.257992,346094.95514,485155.5367199999,508420.359209,215575.40996400002,463905.8717929999,510207.396703,211288.13104,457337.70699999994,507044.49792,250053.7415,317042.16491999995,502347.265589,115246.9174,289224.3352,500971.4043
18,China,13,40,14,15,650,115261.0272,302332.2185,447302.685,498637.1653,96016.07803,168049.3478,57405.19148,4286.008327,6565.651051,3161.657668,168350.3409,36104.06517,1991.24278,383913.454457,513051.282521,509860.7769279999,379627.44613,506485.63147,506699.11925999995,215563.11355699998,476947.217351,507869.53414799995,211277.10523,470381.5663,504707.87648,283611.3681,338436.28367000003,500628.40807999996,115261.0272,302332.2185,498637.1653
19,China,13,40,14,15,700,115274.6204,316676.7129,446667.0396,497534.3526,95432.55602,166565.2094,56882.77697,4256.532397,6507.384124,3132.884875,198821.2781,44011.80987,2625.860116,413784.98691700003,533761.116294,509308.561561,409528.45452,527253.73217,506175.676686,214963.708817,489749.30642399995,506682.701445,210707.17642,483241.9223,503549.81657,314095.8985,360688.52277,500160.212716,115274.6204,316676.7129,497534.3526
20,China,13,40,14,15,750,115287.9561,332159.9811,447112.8784,497233.6194,94491.67995,164214.1076,56041.78817,4210.486078,6418.398517,3085.355772,227280.1536,51704.4358,3282.650296,441270.275728,554496.923017,509522.672638,437059.78965,548078.5244999999,506437.316866,213990.122128,502792.487217,506240.022342,209779.63605,496374.08869999996,503154.66657,342568.1097,383864.41689999995,500516.26969600003,115287.9561,332159.9811,497233.6194
21,China,13,40,14,15,800,115301.1363,348689.5777,448214.0151,497425.2117,93346.80328,161315.62,55026.8028,4152.406187,6303.478082,3029.873035,254314.4883,59276.94014,3959.205918,467114.83406699996,575585.615922,510229.89685300004,462962.42788,569282.13784,507200.02381800005,212800.345767,516308.675782,506270.690935,208647.93958,510005.1977,503240.8179,369615.6246,407966.51784000004,501384.417618,115301.1363,348689.5777,497425.2117
22,China,13,40,14,15,850,115315.3671,366187.669,449775.7819,497998.0708,92092.51635,158170.8515,53920.9899,4089.465854,6180.025864,2968.97724,280286.8469,66786.42387,4655.49301,491784.19620400004,597324.9702339999,511321.24204999994,487694.73035,591144.9443699999,508352.26480999996,211497.34930400003,530538.546364,506665.74903999997,207407.88345000002,524358.5205,503696.7718,395602.21400000004,432974.09287,502653.56380999996,115315.3671,366187.669,497998.0708
