,Country,HDPE[kg/hr],LDPE[kg/hr],PP[kg/hr],PS[kg/hr],HEATER_T,pyro_EAC,pyro_TPC,pyro_REV_SMR,pyro_REV_NG,SMR_EAC,SMR_TPC,SMR_REV,SMRCCU_EAC,SMRCCU_TPC,SMRCCU_REV,WFGD_EAC,WFGD_TPC,WFGD_REV,Path1_EAC,Path1_TPC,Path1_REV,Path2_EAC,Path2_TPC,Path2_REV,Path3_EAC,Path3_TPC,Path3_REV,Path4_EAC,Path4_TPC,Path4_REV,Path5_EAC,Path5_TPC,Path5_REV,Path6_EAC,Path6_TPC,Path6_REV
20,China,13,40,14,15,750,115287.9561,332159.9811,447986.5646,498107.3056,94491.67995,164214.1076,292391.9383,4210.486078,6418.398517,3085.355772,227280.1536,51704.4358,3282.650296,441270.275728,554496.923017,746746.508968,437059.78965,548078.5244999999,743661.1531959999,213990.122128,502792.487217,743463.858672,209779.63605,496374.08869999996,740378.5029,342568.1097,383864.41689999995,501389.955896,115287.9561,332159.9811,498107.3056
21,China,13,40,14,15,800,115301.1363,348689.5777,449015.7308,498226.9274,93346.80328,161315.62,287096.3624,4152.406187,6303.478082,3029.873035,254314.4883,59276.94014,3959.205918,467114.83406699996,575585.615922,743101.172153,462962.42788,569282.13784,740071.299118,212800.345767,516308.675782,739141.966235,208647.93958,510005.1977,736112.0932,369615.6246,407966.51784000004,502186.133318,115301.1363,348689.5777,498226.9274
22,China,13,40,14,15,850,115315.3671,366187.669,450519.7971,498742.086,92092.51635,158170.8515,281326.9038,4089.465854,6180.025864,2968.97724,280286.8469,66786.42387,4655.49301,491784.19620400004,597324.9702339999,739471.1711500001,487694.73035,591144.9443699999,736502.19391,211497.34930400003,530538.546364,734815.6781400001,207407.88345000002,524358.5205,731846.7009,395602.21400000004,432974.09287,503397.57901,115315.3671,366187.669,498742.086
23,China,13,40,14,15,900,115329.9249,384584.36,452240.8862,499442.6159,90789.40285,154924.0103,275372.8853,4024.258332,6052.570716,2906.137182,305443.6054,74268.79856,5372.704353,515587.191482,619829.739576,735892.613035,511562.93315,613777.16886,732986.4758530001,210143.586082,545560.941016,730519.908682,206119.32775,539508.3703,727613.7715,420773.5303,458853.15856,504815.32025299995,115329.9249,384584.36,499442.6159
24,China,13,40,14,15,950,115345.4172,403824.9895,454095.7658,500280.4456,89481.7381,151686.8748,269439.4168,3959.011668,5925.503302,2843.516934,329931.1617,81748.06825,6110.386245,538717.328668,643185.435852,732489.0857789998,534758.317,637259.93255,729645.5688449999,208786.16696799998,561437.367602,726378.6995339999,204827.15529999998,555511.8643,723535.1826,445276.57889999996,485573.05775000004,506390.831845,115345.4172,403824.9895,500280.4456
25,China,13,40,14,15,1000,115361.3847,423862.6419,455953.2946,501142.182,88413.70987,148485.1822,263630.0068,3989.582211,5815.79029,2782.20759,353901.6512,89248.28963,6868.37604,561666.3279810001,667411.90402,729233.88503,557676.74577,661596.11373,726451.67744,207764.67678100002,578163.61439,722365.50899,203775.09457000002,572347.8241,719583.3014,469263.0359,513110.93153,508010.55804,115361.3847,423862.6419,501142.182
26,China,13,40,14,15,1050,115378.627,444661.1317,457808.5286,502037.4505,86940.05195,145460.8078,258025.0609,3832.946324,5681.61682,2722.883798,377434.1412,96784.33279,7645.519608,583585.766474,692587.8891100001,726201.992906,579752.82015,686906.2722900001,723479.109108,206151.62527399996,595803.5563200001,718556.473298,202318.67894999997,590121.9395000001,715833.5895,492812.7682,541445.46449,509682.970108,115378.627,444661.1317,502037.4505
27,China,13,40,14,15,1100,115397.4114,466189.6189,459621.9623,502933.0066,85735.80246,142532.3632,252674.8355,3773.163331,5566.220586,2666.595772,400606.2547,104392.4696,8429.423353,605512.631891,718680.672286,723392.816925,601739.46856,713114.4517,720726.221153,204906.377191,614288.202686,714963.3935720001,201133.21386000002,608721.9821,712296.7978000001,516003.6661,570582.0885,511362.42995300004,115397.4114,466189.6189,502933.0066
28,China,13,40,14,15,1150,115418.3912,488422.9352,461380.7876,503819.4629,84582.9206,139750.7999,247585.5292,3716.282401,5457.074937,2612.888222,423471.1599,112027.064,9246.71973,627188.754101,745657.8740370001,720825.9247519999,623472.4717,740200.7991000001,718213.0365299999,203717.594201,633630.8100370001,711579.2050219999,200001.3118,628173.7351,708966.3167999999,538889.5511,600449.9992,513066.18263,115418.3912,488422.9352,503819.4629
29,China,13,40,14,15,1200,115443.2731,511341.2139,463137.9262,504753.5439,83488.17528,137125.3635,242783.9139,3662.408371,5354.064805,2562.217111,446073.7804,119720.191,10084.68173,648667.637151,773540.8332049999,718568.738941,645005.22878,768186.7684,716006.52183,202593.856751,653820.6422049999,708484.057211,198931.44838000002,648466.5774,705921.8401,561517.0535,631061.4049,514838.22563,115443.2731,511341.2139,504753.5439
