,Unnamed: 0,LIME-DS_BAL_MASI_TFL,LIME-DS_QCALC,SCRUBBER_TOT_VOL,SCRUBBER_QCALC,GYP-CR_TOT_VOL,GYP-CR_QCALC,GAS-SP_BAL_MASI_TFL,GAS-SP_QCALC,GYP-SP_BAL_MASI_TFL,GYP-SP_QCALC,gypsum production,H2O,CO2,SO2,O2,CALCI-01,CALCI-02,N2,NA2O,NO,NO2,AR,EAC,TPC,Revenue
59,0,478593.375,335032.155,935533.734,3753308.06,935560.454,190.99868,478913.26,-504209.924,478913.26,0.0461184604,0.953498597,,,,,,,,,,,,922313.9576788747,2183707.3961344054,4052369.0372499996
60,0,478593.375,335032.155,935733.677,3747068.1,935766.155,253.250112,479017.42,-504381.307,479017.42,0.0618743705,1.26397383,,,,,,,,,,,,922420.055549859,2180692.6833211295,5371888.777500001
61,0,478593.375,335032.155,935931.824,3740693.69,935973.251,316.859524,479123.84,-504556.385,479123.84,0.078202467,1.58118574,,,,,,,,,,,,922526.8620460663,2177612.7765426384,6720039.395
62,0,478593.375,335032.155,936134.153,3734196.38,936183.29,381.709166,479232.327,-504734.836,479232.327,0.095023539,1.90456009,,,,,,,,,,,,922635.6050452669,2174473.476141609,8094380.382499999
63,0,478593.375,335032.155,936340.029,3727585.66,936397.19,447.70109,479342.724,-504916.395,479342.724,0.112300914,2.23362498,,,,,,,,,,,,922746.27807729,2171279.389278067,9492906.165000001
64,0,478593.375,335032.155,936549.908,3720872.26,936615.43,514.726634,479454.85,-505100.764,479454.85,0.129927875,2.56784664,,,,,,,,,,,,922858.978504975,2168035.7424802016,10913348.219999999
65,0,478593.375,335032.155,936764.043,3714065.76,936838.28,582.688048,479568.547,-505287.678,479568.547,0.147818893,2.90674969,,,,,,,,,,,,922973.7407639984,2164747.193647417,12353686.1825
66,0,478593.375,335032.155,936982.728,3707169.86,937066.047,651.545972,479683.754,-505477.032,479683.754,0.165908193,3.25015105,,,,,,,,,,,,923090.6464426,2161415.5514373775,13813141.9625
67,0,478593.375,335032.155,937205.876,3700196.88,937298.647,721.176586,479800.263,-505668.487,479800.263,0.184138775,3.59743743,,,,,,,,,,,,923209.5931330848,2158046.7841849225,15289109.0775
68,0,478593.375,335032.155,937433.586,3693151.16,937536.187,791.532965,479918.004,-505861.919,479918.004,0.202406372,3.94839403,,,,,,,,,,,,923330.5913179761,2154642.9996984676,16780674.6275
69,0,478593.375,335032.155,937665.741,3686042.04,937778.55,862.519513,480036.82,-506057.071,480036.82,0.220628811,4.30255648,,,,,,,,,,,,923453.5455220377,2151208.7190278783,18285865.04
