,Country,HDPE[kg/hr],LDPE[kg/hr],PP[kg/hr],PS[kg/hr],HEATER_T,pyro_EAC,pyro_TPC,pyro_REV_SMR,pyro_REV_NG,SMR_EAC,SMR_TPC,SMR_REV,SMRCCU_EAC,SMRCCU_TPC,SMRCCU_REV,WFGD_EAC,WFGD_TPC,WFGD_REV,Path1_EAC,Path1_TPC,Path1_REV,Path2_EAC,Path2_TPC,Path2_REV,Path3_EAC,Path3_TPC,Path3_REV,Path4_EAC,Path4_TPC,Path4_REV,Path5_EAC,Path5_TPC,Path5_REV,Path6_EAC,Path6_TPC,Path6_REV
35,Saudi Arabia,6,20,10,6,750,71089.42118,113194.3263,133818.6202,159416.4029,60482.4531,57051.13934,58239.14324,2562.441444,2236.183594,1575.762035,152902.2174,29060.1915,1697.868289,287036.53312399995,201541.84073400003,195331.393764,284474.09167999995,199305.65714000002,193755.63172900002,134134.315724,172481.649234,193633.525475,131571.87428,170245.46564,192057.76344,223991.63858,142254.5178,161114.271189,71089.42118,113194.3263,159416.4029
36,Saudi Arabia,6,20,10,6,800,71098.52972,118524.4433,133798.0746,158932.5902,59757.2052,56073.85289,57187.20847,2528.473073,2197.23365,1547.501429,171074.0024,32972.69533,2045.228031,304458.210393,209768.22517,194578.01253,301929.73732,207570.99151999998,193030.511101,133384.207993,176795.52984,192532.784499,130855.73492,174598.29619,190985.28307,242172.53212,151497.13863,160977.818231,71098.52972,118524.4433,158932.5902
37,Saudi Arabia,6,20,10,6,850,71107.52645,124162.5195,133954.7416,158582.6768,58957.94243,55006.81274,56034.57024,2491.437484,2155.12527,1516.306527,188530.3072,36811.13777,2400.265913,321087.213564,218135.59527999998,193905.88428000003,318595.77608,215980.47001,192389.57775300002,132556.906364,181324.45750999998,191505.61836700002,130065.46888,179169.33224,189989.31184,259637.83365000002,160973.65727,160982.942713,71107.52645,124162.5195,158582.6768
38,Saudi Arabia,6,20,10,6,900,71117.38183,130088.2159,134255.2472,158363.1051,58131.76055,53910.44077,54851.24612,2453.231927,2111.861652,1484.283492,205426.5099,40589.57784,2767.8873,337128.884207,226700.09616199997,193358.664112,334675.65228000004,224588.23450999998,191874.38062,131702.374307,186110.518322,190590.776812,129249.14238,183998.65667,189106.49332,276543.89173000003,170677.79374,161130.9924,71117.38183,130088.2159,158363.1051
39,Saudi Arabia,6,20,10,6,950,71127.12655,136282.4264,134607.8097,158194.8935,57298.58925,52811.6726,53666.3475,2414.785188,2068.508362,1452.218904,221884.9395,44332.25737,3147.462136,352725.440488,235494.864732,192873.83824,350310.6553,233426.35637,191421.619336,130840.500988,191162.60736199998,189726.37610400002,128425.7158,189094.099,188274.15720000002,293012.06605,180614.68377,161342.355636,71127.12655,136282.4264,158194.8935
40,Saudi Arabia,6,20,10,6,1000,71137.43181,142731.3577,135004.2173,158082.4729,56478.67479,51737.18451,52508.64051,2377.03062,2026.11773,1420.891247,237983.9837,48051.16142,3537.570384,367977.12092,244545.82135999997,192471.31944099997,365600.09030000004,242519.70362999997,191050.42819399998,129993.13722,196494.65993999998,188933.74905699998,127616.1066,194468.54220999999,187512.85781,309121.41551,190782.51911999998,161620.04328399998,71137.43181,142731.3577,158082.4729
41,Saudi Arabia,6,20,10,6,1050,71148.76808,149423.4358,135436.3539,158025.0483,55684.17976,50702.49902,51394.77743,2340.523529,1985.302508,1390.750704,253788.9902,51756.28528,3938.292849,382962.461569,253867.52260800003,192160.174883,380621.93804,251882.22010000004,190769.424179,129173.47136899999,202111.23732800002,188221.882034,126832.94784,200125.93482000002,186831.13133,324937.75828,201179.72108,161963.34114899999,71148.76808,149423.4358,158025.0483
42,Saudi Arabia,6,20,10,6,1100,71160.83411,156348.3499,135867.6469,157987.5378,54918.04441,49710.85317,50328.14476,2305.392179,1946.190688,1361.888367,269352.2524,55458.05346,4348.159233,397736.523099,263463.447218,191905.83926,395431.13092,261517.25652999998,190543.950893,128384.270699,208005.393758,187557.680027,126078.87852,206059.20307,186195.79166,340513.08651,211806.40336,162335.697033,71160.83411,156348.3499,157987.5378
43,Saudi Arabia,6,20,10,6,1150,71174.30884,163498.3928,136302.3663,157976.9626,54185.36344,48768.15872,49315.00305,2271.861623,1909.014532,1334.473758,284701.8716,59155.84052,4770.207395,412333.405503,273331.406572,191722.050503,410061.54388,271422.39204,190387.576745,127631.533903,214175.566052,186951.843108,125359.67228,212266.55152,185617.36935,355876.18044,222654.23332,162747.169995,71174.30884,163498.3928,157976.9626
44,Saudi Arabia,6,20,10,6,1200,71189.46768,170866.6336,136721.2949,157973.4733,53485.72681,47873.17911,48353.91109,2239.904837,1873.7251,1308.467569,299878.2253,62860.19344,5201.707813,426793.32462699997,283473.73125,191585.381372,424553.41978999996,281600.00615000003,190276.913803,126915.09932699999,220613.53781,186383.67355900002,124675.19449,218739.81271,185075.20599000002,371067.69298,233726.82704,163175.181113,71189.46768,170866.6336,157973.4733
45,Spain,7,26,13,8,500,85156.63868,791785.4468,256383.5674,288610.2361,70449.12442,442810.0047,73322.21197,3031.453832,17125.71482,1983.984028,32419.37975,8037.82543,122.921934,191056.59668199997,1259758.99175,331812.68533199996,188025.14284999997,1242633.27693,329828.701304,158637.21693199998,1251721.16632,331689.763398,155605.76309999998,1234595.4515,329705.77937,117576.01843,799823.27223,288733.15803399996,85156.63868,791785.4468,288610.2361
