,Country,HDPE[kg/hr],LDPE[kg/hr],Country.1,PP[kg/hr],PS[kg/hr],HEATER_T,CH4 flowrate,COOL2_HX_AREAC,COOL3_HX_AREAC,COOL4_HX_AREAC,COOL5_HX_AREAC,COMP2_BRAKE_POWER,COMP3_BRAKE_POWER,COMP4_BRAKE_POWER,COMP5_BRAKE_POWER,COOL2_HX_DUTY,COOL3_HX_DUTY,COOL4_HX_DUTY,COOL5_HX_DUTY,CO2,SMRCCU_EAC,SMRCCU_TPC,SMRCCU_REV
48,Spain,7,26,Spain,13,8,650,5.3819326,0.012687797,0.013579899,0.013579899,0.017769184,0.302537294,0.294833346,0.269735588,0.079737147,70.38623604,75.335221,75.335221,98.57550233,10.1823036,3133.845715420294,17906.76423027635,2077.1899344
49,Spain,7,26,Spain,13,8,700,5.33212769,0.012563619,0.01344699,0.01344699,0.017595274,0.299737585,0.29210493,0.267239429,0.078999252,69.73487742,74.63806416,74.63806416,97.66327847,10.0880747,3112.4722716131614,17742.24109693807,2057.9672388
50,Spain,7,26,Spain,13,8,750,5.25377499,0.012378336,0.013248679,0.013248679,0.017335785,0.295333107,0.287812609,0.263312493,0.077838401,68.78081611,73.61692106,73.61692106,96.32712132,9.93489337,3079.6196360306676,17495.135071110966,2026.71824748
51,Spain,7,26,Spain,13,8,800,5.15874133,0.012138754,0.012992252,0.012992252,0.017000253,0.289990931,0.282606469,0.258549526,0.07643041,67.51345265,72.26044695,72.26044695,94.55218638,9.75680975,3038.2970656552816,17177.09975420751,1990.389189
52,Spain,7,26,Spain,13,8,850,5.05490662,0.011881191,0.012716579,0.012716579,0.016639537,0.284154018,0.27691819,0.253345463,0.074892025,66.15502664,70.80650753,70.80650753,92.64971889,9.56039197,2993.283273425523,16833.95188721351,1950.31996188
53,Spain,7,26,Spain,13,8,900,4.9479119,0.01161636,0.012433127,0.012433127,0.016268642,0.278139469,0.271056798,0.247983024,0.073306822,64.75501068,69.30805388,69.30805388,90.6890049,9.35801407,2946.689938715952,16480.287461133878,1909.03487028
54,Spain,7,26,Spain,13,8,950,4.84137487,0.011353246,0.012151514,0.012151514,0.015900154,0.27215065,0.265220481,0.242643525,0.071728401,63.36081482,67.81582957,67.81582957,88.73644196,9.15651361,2900.0788557072437,16128.074443601496,1867.92877644
55,Spain,7,26,Spain,13,8,1000,4.73683379,0.01109564,0.011875794,0.011875794,0.015539377,0.26627403,0.259493507,0.23740406,0.070179551,61.99266303,66.35148051,66.35148051,86.82035355,8.95879353,2854.1246435567864,15782.41391272396,1827.59388012
56,Spain,7,26,Spain,13,8,1050,4.63668069,0.010849373,0.011612213,0.011612213,0.015194482,0.260644073,0.254006913,0.232384514,0.068695711,60.68181614,64.94846558,64.94846558,84.98452033,8.76938107,2809.891139079369,15451.209654458222,1788.95373828
57,Spain,7,26,Spain,13,8,1100,4.54039053,0.010613108,0.011359335,0.011359335,0.014863595,0.255231266,0.24873194,0.227558574,0.067269104,59.42154789,63.59958558,63.59958558,83.2195222,8.58727295,2767.167106262944,15132.752558838913,1751.8036817999998
