,Unnamed: 0,LIME-DS_BAL_MASI_TFL,LIME-DS_QCALC,SCRUBBER_TOT_VOL,SCRUBBER_QCALC,GYP-CR_TOT_VOL,GYP-CR_QCALC,GAS-SP_BAL_MASI_TFL,GAS-SP_QCALC,GYP-SP_BAL_MASI_TFL,GYP-SP_QCALC,gypsum production,H2O,CO2,SO2,O2,CALCI-01,CALCI-02,N2,NA2O,AR,err,EAC,TPC,Revenue
40,0,,,197200.96,-23.8335124,197181.764,-16.018172,105.375279,-32.3404088,0.624839792,0.411595866,0.027473955,2.63853664,14.1385329,2.68e-06,10.7540236,7.57e-86,2.38e-78,77.2153691,,0.003974759,,211860.21525082164,32963.30508596748,116764.30875
41,0,,,214884.482,69.7007409,215582.775,0.858342536,114.79033,-32.8172171,0.212614889,-4.19e-08,0.0,3.03026569,15.4068911,0.221968608,11.7738821,7.77e-85,,84.140376,,0.00433124,,223263.7596993255,34792.69812572592,0.0
42,0,4473.04975,3131.29177,8745.78697,35225.1432,8745.81515,3.33936578,4475.40336,-4708.75258,4475.40336,0.00097291,0.018225991,,,,,,,,,,,59763.700982362316,28443.462536469644,77460.46175
43,0,4473.04975,3131.29177,19778.0925,35195.8745,19852.5815,23.8515167,4485.24142,-4752.24102,4480.84345,-0.010665272,0.12587406,0.484528128,0.076461223,1.98e-11,0.263582911,6.42e-87,1.54e-83,3.57329852,5.0099999999999996e-82,0.000105163,,80389.09789543193,31652.36000133908,534964.755
44,0,4473.04975,3131.29177,40670.6297,35260.1632,40807.194,63.022585,4495.39443,-4808.07807,4481.28803,0.024628748,0.336195033,1.5447712,0.404921573,2.49e-11,1.03810422,3e-86,1.31e-82,11.1181917,1.6e-81,0.000409027,,109149.35439672554,36183.5719857983,1428828.89025
45,0,4473.04975,3131.29177,62651.4025,35430.6679,62861.1044,47.4822784,4505.72803,-4868.02533,4481.32379,0.017988818,0.24634762,2.6601866,0.931310231,2.58e-10,1.99104761,4.3e-86,1.66e-82,18.8209322,2.75e-81,0.000764263,,133395.49287077275,40037.61337848135,1046977.3849999999
46,0,4473.04975,3131.29177,85401.9866,35571.1056,85680.3368,64.6191749,4516.36518,-4930.07783,4481.24392,0.024381625,0.335428421,3.814768,1.62108453,2.62e-11,3.00613531,3.3e-89,3.24e-82,26.678124,3.95e-81,0.001144823,,155080.93326440518,43494.42997978869,1425570.78925
47,0,4473.04975,3131.29177,108843.711,35725.2243,109195.6,80.7832053,4527.2325,-4993.39652,4481.01752,0.030372679,0.419405472,5.00505788,2.44788788,3.25e-09,4.07047825,1.67e-85,5.31e-82,34.6900228,5.18e-81,0.001541956,,175110.5290338742,46699.80054772089,1782473.2559999998
48,0,4473.04975,3131.29177,132885.181,35890.4492,133310.137,97.312361,4538.30953,-5057.42614,4480.67366,0.036439285,0.505361546,6.22660622,3.3899041,2.34e-08,5.17079704,2.5599999999999997e-89,7.959999999999999e-82,42.8466166,6.45e-81,0.001951364,,193923.7020957,49721.492172345505,2147786.5705
49,0,4473.04975,3131.29177,157457.971,36064.8811,157957.043,114.116422,4549.57977,-5121.85256,4480.23367,0.042601826,0.592635871,7.47601387,4.42962793,6.32e-11,6.2997298,4.81e-85,1.1199999999999999e-81,51.1383575,7.749999999999999e-81,0.002370674,,211789.64033404883,52600.4136946432,2518702.4517500005
50,0,4473.04975,3131.29177,182506.967,36247.0728,183081.116,131.236373,4561.02797,-5186.50043,4479.71312,0.04878417,0.68129029,8.7504877,5.55289936,2.04e-07,7.45263125,7.01e-89,1.51e-81,59.5560277,9.08e-81,0.002798381,,228885.6963963254,55363.4723235969,2895483.7324999995
51,0,4473.04975,3131.29177,207972.962,36435.8003,208622.519,145.206177,4572.63536,-5251.23351,4479.12534,0.053796803,0.753247155,10.0469982,6.74757386,4.94e-11,8.62568107,4.5300000000000004e-85,1.9199999999999998e-81,68.0865259,1.04e-80,0.003233204,,245327.9568935412,58026.4231006433,3201300.4087499995
52,0,4473.04975,3131.29177,233834.429,36630.2964,234561.257,165.926816,4584.39718,-5316.07111,4478.47955,0.061349548,0.86177825,11.3643634,8.00487564,2.36e-08,9.81724575,2.08e-90,2.48e-81,76.7274703,1.18e-80,0.00367463,,261220.30179137262,60609.935881636586,3662557.5625
53,0,4473.04975,3131.29177,260029.714,36829.6277,260844.219,104.852188,4596.30814,-5380.72656,4477.79996,0.041423633,0.552744202,12.6997169,9.3165304,1.9e-08,11.0245251,6.99e-83,1.78e-81,85.4632876,1.3200000000000001e-80,0.004121673,,276618.6722832668,63078.646814312946,2349162.8585
54,0,4473.04975,3131.29177,286529.605,37033.2001,287412.37,198.632802,4608.30459,-5445.7151,4477.04718,0.073119626,1.0316885,14.0506305,10.6733194,1.2e-09,12.2450178,8.54e-85,3.67e-81,94.2838686,1.46e-80,0.004573477,,291571.0310243705,65556.27672227443,4384676.125
55,0,4473.04975,3131.29177,313325.42,37240.6529,314285.393,215.17558,4620.43867,-5510.57187,4476.27201,0.079040672,1.11750707,15.4174644,12.0731465,4.49e-08,13.4791879,9.35e-85,4.3699999999999995e-81,103.191831,1.6000000000000001e-80,0.005030218,,306140.26411469246,67938.13777934489,4749405.0475
56,0,478593.375,335032.155,934925.665,3772232.84,934926.042,24.603279,478610.714,-503692.381,478610.714,0.006354754,0.134270096,,,,,,,,,,,921994.6695962916,2192862.0691470895,570647.9079999999
