,CH4 flowrate,PUMP_BRAKE_POWER,COMP_BRAKE_POWER,HEAT1_HX_AREAC,HEAT1_HX_DUTY,HEAT2_HX_AREAC,HEAT2_HX_DUTY,COOL1_HX_AREAC,COOL1_HX_DUTY,HX1_HX_AREAC,HX1_HX_DUTY,HX2_HX_AREAC,HX2_HX_DUTY,DRUM_BAL_MASI_TFL,SMR_QCALC,SMR_BAL_MASI_TFL,WGS_BAL_MASI_TFL,PSA_QCALC,PSA_BAL_MOLI_TFL,VSA_QCALC,VSA_BAL_MASI_TFL,VSA_BAL_MOLI_TFL,CH4,CO2,H2,H2O,S1,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S2,S3,S4,S5,S6,S7,S8,S9,S9-1,S9-2,CH4,CO,CO2,H2,H2O
0,7.99804375,0.05600976,2.13494196,0.021153925,146.943788,0.016921047,20.0863689,0.531025226,2644.99745,0.057284988,1634.4238,0.071171923,4045.85503,34.9442531,9695.80868,34.9442529,34.9442529,-12.6530137,2.23946071,-0.395037759,20.1817399,0.817457604,7.99804375,15.4648734,2.86658763,26.9462092,26.9462092,34.9442531,34.9442531,11.8959256,23.0483275,20.1817399,2.86658763,20.1817399,20.1817399,15.4648734,4.71686647,7.99804375,7.99804375,26.9462092,26.9462092,34.9442529,34.9442529,34.9442529,34.9442531,34.9442531,0,0,0.280104,15.124293,0.0604764,0
0,7.85290273,0.054993347,2.09619903,0.02075455,144.277189,0.016611701,19.7239681,0.519521705,2596.10105,0.056289582,1604.76381,0.069880362,3972.43463,34.3101173,9519.85821,34.3101173,34.3101173,-12.4245555,2.19888344,-0.386067858,19.8165213,0.80263455,7.85290273,15.1928992,2.81467022,26.4572146,26.4572146,34.3101173,34.3101173,11.6789258,22.6311915,19.8165213,2.81467022,19.8165213,19.8165213,15.1928992,4.62362213,7.85290273,7.85290273,26.4572146,26.4572146,34.3101173,34.3101173,34.3101173,34.3101173,34.3101173,0,0,0.280104,14.8523188,0.0604764,0
0,7.69509726,0.053888246,2.05407554,0.020321007,141.377914,0.016274271,19.327569,0.507273589,2543.94958,0.055157564,1572.51579,0.068476104,3892.60786,33.6206494,9328.55498,33.6206494,33.6206494,-12.1748591,2.15469527,-0.3762642,19.4182848,0.786505243,7.69509726,14.8943904,2.7581069,25.9255522,25.9255522,33.6206494,33.6206494,11.4442578,22.1763917,19.4182848,2.7581069,19.4182848,19.4182848,14.8943904,4.52389441,7.69509726,7.69509726,25.9255522,25.9255522,33.6206494,33.6206494,33.6206494,33.6206494,33.6206494,0,0,0.280104,14.55381,0.0604764,0
0,7.53224099,0.052747775,2.01060383,0.01987433,138.385842,0.015926209,18.9185038,0.494724461,2490.12041,0.053989734,1539.23564,0.0670269,3810.2261,32.9091141,9131.12879,32.9091141,32.9091141,-11.9171818,2.10909337,-0.366157569,19.0073117,0.769859801,7.53224099,14.5863509,2.69973417,25.3768731,25.3768731,32.9091141,32.9091141,11.2020682,21.7070459,19.0073117,2.69973417,19.0073117,19.0073117,14.5863509,4.42096084,7.53224099,7.53224099,25.3768731,25.3768731,32.9091141,32.9091141,32.9091141,32.9091141,32.9091141,0,0,0.280104,14.2457705,0.0604764,0
0,7.3699447,0.051611225,1.96728159,0.019429935,135.404059,0.015579509,18.5108605,0.482309696,2436.46974,0.052826243,1506.06991,0.065582679,3728.12762,32.2000254,8934.38146,32.2000254,32.2000254,-11.660399,2.06364874,-0.356097093,18.5977593,0.753271678,7.3699447,14.2793889,2.6415629,24.8300807,24.8300807,32.2000254,32.2000254,10.9607032,21.2393222,18.5977593,2.6415629,18.5977593,18.5977593,14.2793889,4.31837046,7.3699447,7.3699447,24.8300807,24.8300807,32.2000254,32.2000254,32.2000254,32.2000254,32.2000254,0,0,0.280104,13.9388085,0.0604764,0
0,7.21104061,0.05049843,1.92486484,0.018995548,132.484599,0.015240212,18.1117458,0.470242057,2383.93692,0.051687245,1473.59739,0.064168645,3647.7451,31.5057575,8741.7464,31.5057575,31.5057575,-11.4089878,2.0191542,-0.34625839,18.1967711,0.737030313,7.21104061,13.9788525,2.58460789,24.2947169,24.2947169,31.5057575,31.5057575,10.7243786,20.781379,18.1967711,2.58460789,18.1967711,18.1967711,13.9788525,4.21791859,7.21104061,7.21104061,24.2947169,24.2947169,31.5057575,31.5057575,31.5057575,31.5057575,31.5057575,0,0,0.280104,13.6382721,0.0604764,0
0,7.05785361,0.049425672,1.88397417,0.018577463,129.670176,0.01491327,17.7269976,0.45868977,2333.29108,0.050589376,1442.29318,0.062805485,3570.2546,30.8364682,8556.04201,30.8364682,30.8364682,-11.1666259,1.9762607,-0.336785044,17.8102132,0.721373322,7.05785361,13.6891373,2.52970238,23.7786146,23.7786146,30.8364682,30.8364682,10.4965527,20.3399155,17.8102132,2.52970238,17.8102132,17.8102132,13.6891373,4.12107582,7.05785361,7.05785361,23.7786146,23.7786146,30.8364682,30.8364682,30.8364682,30.8364682,30.8364682,0,0,0.280104,13.3485569,0.0604764,0
0,6.9113828,0.048399947,1.84487627,0.018178323,126.979146,0.014600794,17.3591214,0.447717882,2284.86425,0.049539713,1412.36144,0.06150209,3496.16153,30.1965226,8378.47947,30.1965226,30.1965226,-10.9348918,1.9352479,-0.327738008,17.4406048,0.706402801,6.9113828,13.4121283,2.47720425,23.2851398,23.2851398,30.1965226,30.1965226,10.2787135,19.9178091,17.4406048,2.47720425,17.4406048,17.4406048,13.4121283,4.02847654,6.9113828,6.9113828,23.2851398,23.2851398,30.1965226,30.1965226,30.1965226,30.1965226,30.1965226,0,0,0.280104,13.0715479,0.0604764,0
0,6.77217405,0.047425077,1.80771686,0.017799529,124.421538,0.014303931,17.0094868,0.437356299,2238.83749,0.048542139,1383.91372,0.060263318,3425.742,29.5883056,8209.72053,29.5883056,29.5883056,-10.7146483,1.89626858,-0.319150004,17.0893228,0.692174534,6.77217405,13.148856,2.42730911,22.8161316,22.8161316,29.5883056,29.5883056,10.0716738,19.5166319,17.0893228,2.42730911,17.0893228,17.0893228,13.148856,3.94046683,6.77217405,6.77217405,22.8161316,22.8161316,29.5883056,29.5883056,29.5883056,29.5883056,29.5883056,0,0,0.280104,12.8082756,0.0604764,0
0,6.64083422,0.046505313,1.77265793,0.017442643,122.008502,0.014023956,16.679618,0.427639041,2195.41144,0.047601003,1357.07404,0.059094568,3359.30302,29.0144688,8050.50086,29.0144688,29.0144688,-10.5068556,1.85949268,-0.311057331,16.7578985,0.678750547,6.64083422,12.9004682,2.38023445,22.3736346,22.3736346,29.0144688,29.0144688,9.87633586,19.1381329,16.7578985,2.38023445,16.7578985,16.7578985,12.9004682,3.85743032,6.64083422,6.64083422,22.3736346,22.3736346,29.0144688,29.0144688,29.0144688,29.0144688,29.0144688,0,0,0.280104,12.5598878,0.0604764,0
