Country,LIME-DS_BAL_MASI_TFL,LIME-DS_QCALC,SCRUBBER_TOT_VOL,SCRUBBER_QCALC,GYP-CR_TOT_VOL,GYP-CR_QCALC,GAS-SP_BAL_MASI_TFL,GAS-SP_QCALC,GYP-SP_BAL_MASI_TFL,GYP-SP_QCALC,H2O,CO2,SO2,O2,CALCI-01,CALCI-02,N2,NA2O,AR,gypsum production,
China,18.8233632,13.1770147,323279.532,2338.825,332722.334,246.995585,172.974006,-417.864325,7.56686306,0.175421734,15.8738475,20.1076735,0.000145305,16.2855355,4.60E-84,4.57E-78,113.075816,6.88E-80,0.064124447,1.14597929,8.78E-07
China,21.046972,14.7336189,361497.851,2615.97922,372038.674,276.173094,193.407319,-467.332657,8.45684786,0.195369266,17.7512874,22.4829961,0.001349823,18.2096474,4.99E-84,5.11E-78,126.433491,7.69E-80,0.071699483,1.28064209,7.30E-06
China,23.2964174,16.3083096,400102.959,2894.62053,411789.028,305.689795,214.078353,-517.164305,9.3649422,0.217095187,19.6460331,24.8859222,0.000198014,20.1555224,5.71E-84,5.66E-78,139.946373,8.52E-80,0.079362538,1.41829555,9.67E-07
China,25.5695828,17.8996051,439154.765,3177.44082,451974.843,335.517631,234.967144,-567.672806,10.2770509,0.23794288,21.563986,27.3141838,0.000730949,22.1223412,6.22E-84,6.21E-78,153.601745,9.35E-80,0.087106396,1.55637961,3.25E-06
China,27.865335,19.5067122,478569.626,3462.32041,492550.142,365.641899,256.063622,-618.591569,11.2015883,0.259668012,23.4990431,29.766575,0.000242184,24.1084457,6.86E-84,6.77E-78,167.392801,1.02E-79,0.094927201,1.69645377,9.89E-07
Saudi_Arabia,0.230236024,0.161173295,3992.57367,29.7893948,4085.21293,2.34163488,2.11570284,-5.27214969,0.087189608,0.001879802,0.197522751,0.245952702,0.001582899,0.199592308,2.99E-87,4.16E-80,1.38307824,8.85E-82,0.000784335,0.009928506,0.000780325
Saudi_Arabia,1.19085168,0.833637962,20454.2909,148.091671,21050.6513,15.6181197,10.9431682,-26.4499135,0.478260356,0.010934524,1.00453539,1.27210186,0.000182759,1.03034047,4.82E-85,2.90E-79,7.15369055,4.35E-81,0.004056804,0.072710829,1.75E-05
Saudi_Arabia,2.18031814,1.5262992,37447.5685,271.036575,38541.2638,27.8685171,20.0370398,-48.4004874,0.877791729,0.020183245,1.83852602,2.32907758,0.000193897,1.88640445,4.90E-87,5.33E-79,13.0976185,7.95E-81,0.00742756,0.133769695,1.01E-05
Saudi_Arabia,3.19616279,2.23742609,54898.1308,397.257565,53808.2404,41.9541704,29.3704285,-70.9711539,1.28403096,0.029764468,2.69577059,3.41423691,0.000203257,2.76529058,,7.74E-79,19.2000081,1.17E-80,0.010888181,0.19387579,7.24E-06
Saudi_Arabia,4.23647111,2.96567842,72760.7679,526.758824,74887.6548,54.9273158,38.9315136,-94.0768446,1.70307422,0.039122944,3.57316946,4.52552057,0.000541769,3.66542325,2.06E-87,1.03E-78,25.4493522,1.55E-80,0.014432136,0.258659872,1.46E-05
